rau,ɾ au
rautau,ɾ au - t au
rahi,ɾ a - h i
rahinga,ɾ a - h i - ŋ a
rakau,ɾ a - k au
raki,ɾ a - k i
raro,ɾ a - ɾ o
raruraru,ɾ a - ɾ u - ɾ a - ɾ u
ratou,ɾ a - t ou
rawa,ɾ a - w a
rawatia,ɾ a - w a - t i - a
ranga,ɾ a - ŋ a
rangahau,ɾ a - ŋ a - h au
rangatira,ɾ a - ŋ a - t i - ɾ a
rangi,ɾ a - ŋ i
rangona,ɾ a - ŋ o - n a
rawhiti,ɾ a - f i - t i
rā,ɾ a:
rākau,ɾ a: - k au
rānei,ɾ a: - n ei
rārangi,ɾ a: - ɾ a - ŋ i
rātou,ɾ a: - t ou
rāwhiti,ɾ a: - f i - t i
reira,ɾ ei - ɾ a
reo,ɾ e - o
reorua,ɾ e - o - ɾ u - a
rere,ɾ e - ɾ e
rerekē,ɾ e - ɾ e - k e:
rerekētanga,ɾ e - ɾ e - k e: - t a - ŋ a
rererangi,ɾ e - ɾ e - ɾ a - ŋ i
rerenga,ɾ e - ɾ e - ŋ a
rēwena,ɾ e: - w e - n a
rima,ɾ i - m a
riri,ɾ i - ɾ i
riro,ɾ i - ɾ o
ritenga,ɾ i - t e - ŋ a
rīpeka,ɾ i: - p e - k a
rīriki,ɾ i: - ɾ i - k i
roa,ɾ o - a
roanga,ɾ o - a - ŋ a
rohe,ɾ o - h e
rorohiko,ɾ o - ɾ o - h i - k o
roto,ɾ o - t o
rongo,ɾ o - ŋ o
rongonui,ɾ o - ŋ o - n u - i
rōpū,ɾ o: - p u:
rua,ɾ u - a
ruarua,ɾ u - a - ɾ u - a
rumaki,ɾ u - m a - k i
runga,ɾ u - ŋ a
Tainui,t ai - n u - i
Taone,t ao - n e
Taonga,t ao - ŋ a
Taura,t au - ɾ a
Tauranga,t au - ɾ a - ŋ a
Tautohe,t au - t o - h e
Taha,t a - h a
Tahiti,t a - h i - t i
Tahu,t a - h u
Taki,t a - k i
Takiwā,t a - k i - w a:
Tapu,t a - p u
Taputapu,t a - p u - t a - p u
Tari,t a - ɾ i
Tangata,t a - ŋ a - t a
Tangihanga,t a - ŋ i - h a - ŋ a
Tawhito,t a - f i - t o
Tāone,t a:o - n e
Tāhuhu,t a: - h u - h u
Tāmaki,t a: - m a - k i
Tāmati,t a: - m a - t i
Te,t e
Tekau,t e - k au
Tena,t e - n a
Tenei,t e - n ei
